Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
First Steps Learning & Childcare Centre,394,First Steps Learning & Childcare Centre,Halton,Burlington,L7N 3M6,,Inactive/New,No,0.00,0.00,
East Plains Cooperative Preschool,396,East Plains Co-op Preschool,Halton,Burlington,L7T2C7,,Inactive/New,No,0.00,0.00,
Willowglen School Ltd.,397,Willowglen Montessori School,Halton,Oakville,L6M 3T3,,Inactive/New,No,0.00,0.00,
Learning Jungle York,401,Learning Jungle - Markham,York Region,Markham,L6E 0C7,2025-05-09,Active,Yes,103.17,1576.07,
COSTI - York,405,COSTI - Richmond Hill,York Region,Richmond Hill,L4C 0A8,2024-10-02,Dormant 4,Yes,0.00,40.83,
COSTI - York,405,COSTI - Richmond Hill Marjan Bateni,York Region,Richmond Hill,L4C 0A8,2024-10-02,Dormant 4,Yes,0.00,40.83,
St. Albans Boys & Girls Club,409,St. Albans Boys & Girls Club,Toronto,Toronto,M6G 2R8,2024-02-20,Dormant 4,No,0.00,0.00,
Montrose Child Care Centre,411,Montrose Child Care Centre,Toronto,Toronto,M6G 3G9,2025-04-17,Dormant 1,No,13.00,121.75,
Kidlogic,413,Kidlogic - Burlington,Halton,Burlington,L7P 3P5,,Inactive/New,No,0.00,0.00,
Milton Community Resource Centre,414,Bronte Street School Child Care Centre,Halton,Milton,L9T 0H8,,Inactive/New,Yes,0.00,0.00,
Nottinghill Cooperative Preschool Inc.,415,Nottinghill Co-Operative Preschool,Halton,Oakville,L6M1X7,,Inactive/New,No,0.00,0.00,
Milton Community Resource Centre,416,Bruce Trail Early Learning Centre,Halton,Milton,L9T 6N8,,Inactive/New,Yes,0.00,0.00,
St. Lawrence Cooperative,420,St. Lawrence Cooperative - Infant and Toddler,Toronto,Toronto,M5E 1M6,2025-04-11,Dormant 1,No,59.50,126.00,
Catholic Settlement House Day Nursery,424,Catholic Settlement House Day Nursery,Toronto,Toronto,M5T1W3,,Inactive/New,No,0.00,0.00,
Parkview Childrens Centre,425,The Village School,Halton,Oakville,L6H 7H9,,Inactive/New,Yes,0.00,0.00,
Parkview Childrens Centre,426,The Orchard School,Halton,Burlington,L7L7G7,,Inactive/New,Yes,0.00,0.00,
Learning Jungle Toronto,427,Learning Jungle - Briarcrest,Toronto,Etobicoke,M9P 3N5,,Inactive/New,Yes,0.00,0.00,
Miles Nadal Jewish Community Centre,428,Miles Nadal,Toronto,Toronto,M5S 2J2,2024-06-14,Dormant 4,No,0.00,7.00,
Orde Daycare,437,Orde Daycare,Toronto,Toronto,M5T 1N7,2025-05-20,Active,No,21.00,431.69,
Orde Daycare,439,Orde Satellite Daycare,Toronto,Toronto,M5T 1V1,2025-05-06,Active,No,34.78,214.28,
Leaside Daycare Centre,440,Leaside Daycare Centre - Laird,Toronto,Toronto,M4G 3W4,,Inactive/New,No,0.00,0.00,
Leaside Daycare Centre,444,Leaside Daycare Centre - Rolph,Toronto,East York,M4G 3M5,,Inactive/New,No,0.00,0.00,
Royal Daycare Weston Inc.,445,Royal Day Care Weston Inc.,Toronto,Toronto,M9N 1V5,2025-05-16,Active,No,41.75,484.17,
Campus Community Co-op Daycare,449,Campus Community Co-op Daycare,Toronto,Toronto,M5S 2G4,2025-05-16,Active,No,4.00,351.48,
Victoria Education Centre,450,Victoria Education Centre - East York,Toronto,East York,M4C 4C4,2024-11-21,Dormant 4,No,0.00,58.25,
Little Hands Childrens Learning Centre Inc.,454,Little Hands Childrens Learning Centre #1,Halton,Milton,L9T9H2,,Inactive/New,No,0.00,0.00,
Alef-Bet Daycare Inc.,457,Alef-Bet Daycare Inc.,York Region,Thornhill,L4J 2K3,,Inactive/New,No,0.00,0.00,
Highview Wilson,458,Highview Wilson,Toronto,North York,M3M 1C4,2023-05-26,Inactive/New,No,0.00,0.00,
Lambton Park Child Care,466,Lambton Park Child Care,Toronto,Toronto,M6N 1W9,2025-03-14,Dormant 2,No,28.00,28.00,
Early Adventures Nursery School & Child Care Cent,467,Early Adventure,Toronto,Etobicoke,M8Y 1B7,2025-03-04,Dormant 2,No,6.50,49.50,
Chartland Child Care,469,Chartland Child Care,Toronto,Scarborough,M1S 2R7,,Inactive/New,No,0.00,0.00,
Helping Hands Daycare,472,Helping Hands Daycare - Pickering Rougemount,Durham,Pickering,L1V 6K4,2024-12-06,Dormant 4,Yes,0.00,26.00,
